ticker,cik,name,status,has_ai_disclosure,total_ai_mentions,risk_text_length,cat_core_ai,cat_ai_tech,cat_ai_risk,cat_ai_infra,cat_ai_regulation,cat_mit4_malicious,cat_mit5_human,cat_mit6_socio,cat_mit6_environ,cat_mit7_safety,kw_nvidia,kw_data_center,kw_gpu,kw_sustainability,kw_compute,kw_ai_model,kw_misuse,kw_eu_ai_act,kw_generative_ai,kw_llm,kw_bias,kw_artificial_intelligence,kw_machine_learning,kw_large_language_model,kw_algorithm,kw_monopol,kw_ai_system,kw_ai_regulation,kw_disinformation,kw_misinformation,kw_environmental_impact,kw_automation,kw_energy_consumption,kw_autonomous,kw_cyberattack,kw_manipulation,kw_agentic,kw_training_data,kw_ai_agent,kw_data_center_energy,kw_ai_governance,kw_responsible_ai,kw_computer_vision,kw_carbon_footprint,kw_robotics,kw_labor_disruption,kw_uncontrollable,kw_misalignment,kw_human_oversight,kw_ai_safety,kw_explainability,kw_dual-use,kw_nlp,kw_predictive_analytics,kw_adversarial,kw_ai_legislation,kw_hallucination,kw_neural_network,kw_ai_ethics,kw_algorithmic_accountability,kw_natural_language_processing,kw_overreliance,kw_job_displacement,kw_jailbreak,kw_weaponiz,kw_deep_learning,kw_over-reliance
LIN,1707925,LINDE PLC,analyzed,True,1,26292.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISRG,1035267,INTUITIVE SURGICAL INC,analyzed,True,67,311214.0,18.0,18.0,1.0,9.0,5.0,12.0,2.0,0.0,2.0,0.0,,1.0,,2.0,8.0,,1.0,5.0,,,1.0,7.0,10.0,,7.0,,1.0,,,,,,,,11.0,1.0,,,,,,,,,11.0,,,,1.0,,,,,,,,,,,,,,,,,,
QCOM,804328,QUALCOMM INC/DE,analyzed,True,74,196269.0,23.0,11.0,3.0,23.0,0.0,4.0,0.0,0.0,6.0,4.0,,10.0,4.0,5.0,8.0,4.0,4.0,,9.0,4.0,,3.0,2.0,,,,,,,,,3.0,,2.0,,,3.0,,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,
INTU,896878,INTUIT INC.,no_risk_section,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX,1393818,Blackstone Inc.,analyzed,True,81,356519.0,14.0,2.0,2.0,4.0,0.0,6.0,0.0,0.0,52.0,1.0,,1.0,,52.0,2.0,,2.0,,1.0,3.0,1.0,9.0,1.0,,2.0,,,,,,,,,,4.0,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
GEV,1996810,GE Vernova Inc.,no_risk_section,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTC,50863,INTEL CORP,no_risk_section,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOW,1373715,"ServiceNow, Inc.",analyzed,True,18,78902.0,5.0,2.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,,5.0,,,,,,1.0,,,,1.0,4.0,,,,,,,,,2.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBER,1543151,"Uber Technologies, Inc",analyzed,True,81,229759.0,11.0,38.0,2.0,19.0,0.0,7.0,0.0,0.0,4.0,0.0,,12.0,,3.0,7.0,,2.0,,,,2.0,5.0,6.0,,7.0,,,,,,1.0,,,31.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,732717,AT&T INC.,analyzed,True,20,44117.0,6.0,0.0,1.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,,,,,3.0,1.0,,,1.0,,1.0,3.0,1.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHW,316709,SCHWAB CHARLES CORP,analyzed,True,5,46589.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,3.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJX,109198,TJX COMPANIES INC /DE/,analyzed,True,8,68725.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,,,4.0,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKNG,1075531,Booking Holdings Inc.,analyzed,True,26,95551.0,4.0,0.0,4.0,5.0,0.0,7.0,0.0,0.0,5.0,1.0,,,,4.0,5.0,,,,1.0,,2.0,1.0,1.0,,,,1.0,,,,1.0,,,,7.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
VZ,732712,VERIZON COMMUNICATIONS INC,analyzed,True,26,35613.0,4.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,2.0,0.0,,1.0,,1.0,,1.0,,,1.0,,,,2.0,,,,,,,,1.0,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMGN,318154,AMGEN INC,analyzed,True,40,238244.0,16.0,3.0,2.0,1.0,0.0,14.0,1.0,0.0,3.0,0.0,,,,1.0,,,1.0,,,5.0,1.0,8.0,,,1.0,,3.0,,,,,2.0,,,13.0,,,1.0,,,,,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
NEE,753308,NEXTERA ENERGY INC,analyzed,True,8,141546.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACN,1467373,Accenture plc,analyzed,True,20,93753.0,1.0,6.0,4.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,,,,,1.0,1.0,1.0,,,,2.0,,,,1.0,,,2.0,,,,3.0,,,6.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
TXN,97476,TEXAS INSTRUMENTS INC,analyzed,True,2,26692.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHR,313616,DANAHER CORP /DE/,analyzed,True,32,163614.0,5.0,6.0,1.0,3.0,0.0,1.0,0.0,0.0,16.0,0.0,,,,16.0,3.0,,,,,,1.0,5.0,,,1.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
BA,12927,BOEING CO,analyzed,True,11,70809.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,,,,6.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
